SCU Number,Market Name,Owner,Pole Height - AGL,Type,Primary Power,Secondary Power,Communication Lines,Guy Wires,Sign,Light Arm,Banner,Surveillance Equipment,Power Meter,Traffic Signal,Transformer,Other,Comments,Reviewed By,Time Study (Minutes),Link to as built,,,,
444304,"Chicago, IL",CDOT (City of Chicago),34.5,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.08-14.17,N/A,4.75; 23.5,Junction box and fiber dist panel c/l heights are in other,Erin,,https://www.ccisites.com/uploads/non_otg_docs/work_task/5100000-5199999/5118372/CHICAGO_SC_68_444304_REDLINE-NODE.pdf,,,,
402077,"Philadelphia, PA",PECO,34.5,Wood,N/A,28.25,24.58,16.5,8.25-9.75,26.92,N/A,N/A,N/A,N/A,N/A,15.42;32.17,GPS on shroud at 15.42.  Riser U guard is at 32.17,Erin,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754847/PHL-426_402077_NAT_Redlined_As-Built.pdf,,,,
404216,"Philadelphia, PA",PECO,30.42,Wood,X,24,X,N/A,7.17-12.5,22.33,N/A,N/A,N/A,N/A,N/A,N/A,,Erin,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754227/PHL-001m2_404216_NAT_Redlined_As-Built.pdf,,,,
404235,"Philadelphia, PA",PECO,38.6,Wood,37.58,29.25-30.25,15.5;17.17;18;18.42,N/A,N/A,24.42,N/A,N/A,N/A,N/A,N/A,8.33-X,Disconnect box is other ,Erin,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754063/PHL-012_NAT_Revised_As_Built.pdf,,,,
404362,"Philadelphia, PA",PECO,34.58,Wood,N/A,33.5,19.25,N/A,8.83-10.33,25.75,N/A,N/A,N/A,N/A,N/A,8.08-X,Disconnect box is other ,Erin,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754943/PHL-246_NAT_Revised_As_Built.pdf,,,,
406530,"Philadelphia, PA",PSEG,40.25,Wood,N/A,30.33; 29.33; 28.33,21.5,N/A,N/A,26.5,N/A,N/A,6.5,N/A,N/A,N/A,,Evan,,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3751884/PL90XSGJ3N18.L_CD_CMD-013_As_Built.pdf,,,,
406535,"Philadelphia, PA",PSEG,33.75,Wood,N/A,38.92,23.08; 22.66; 22.08,24,N/A,N/A,N/A,N/A,6.5,N/A,N/A,N/A,,Evan,13,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3751879/CMD-025_NAT_Revised_As_Built.pdf,,,,
406536,"Philadelphia, PA",PSEG,34,Wood,N/A,27.33; 26.86,22.25; 21.86; 20.66,32.75; 28,N/A,25.08,N/A,23.66,N/A,N/A,N/A,Solar Panel - 19.16; Microwave Box - 25.92; Camera Box - 25.33; Radio - 9.42,,Evan,23,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3751883/CMD-018_NAT_Revised_As_Built.pdf,,,,
407549,"Philadelphia, PA",PECO,39.58,Wood,N/A,38.08; 37.42,26.67,N/A,12 - 13.5; 9.16 - 11.66,N/A,N/A,N/A,N/A,N/A,N/A,Private Lights - 36.86; Radio - 13,,Evan,22,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3754717/PHP594_407549_NAT_Redlined_As-Built.pdf,,,,
439566,"Chicago, IL",COMED,29.5,Wood,N/A,28.58; ,19.58; 19.16; ,23.5; 23.16; 19.58; 18.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AT&T Terminal Box - 17.33; Fiber Distribution Panel - 14.42; AC Load Panel - 11.92,,Evan,23,https://www.ccisites.com/uploads/non_otg_docs/work_task/2900000-2999999/2945186/CH4273BA_Elevation_NAT_Revised_As_Built.pdf,,,,
