scu,jurisdiction,file,owner,latitude,longitude,address,county,pole height,pole height comment,primary power,primary power comment,secondary power,secondary power comment,fiber dist panel,fiber dist panel comment,ac load panel,ac load panel comment,street sign,street sign comment,shroud,shroud comment,antenna,antenna comment,analysis_id
470513,CHICAGO,CHPH33297_SCU-470513_Red_Lines-Node.pdf,COMED,"41' 50' 14.00"" (41.837223)","-87 43' 50.27"" (-87.730632)",900 S HOMAN AVE,XXXX,33.5,,,,30.17,,11.75,,13.64,,,,13.6,,40.0,,6104b704f8892d9346eb4617
470516,CHICAGO,CHPH33222_SCU-470516_Redline-Node.pdf,COMED,41.956361,-87.682810,2136 W BELLE PLAINE AVE,XXXX,38.17,,34.79,,,,11.58,,13.52,,,,13.44,,45.0,,6104c2fef8892d9346eb46aa
470518,CHICAGO,CHPH33281_SCU-470518_Redlines-Node.pdf,COMED,41.915973,-87.720983,1916 N RIDGWAY AVE,XXXX,33.79,,34.38,,,,14.54,,16.5,,,,16.4,,40.83,,6104b7b8f8892d9346eb4620
470520,CHICAGO,CH2224BA_81LAB_Elevation_As_Built.pdf,COMED,"41' 51' 1.71"" (41.850475)","-87 41' 59.72"" (-87.699923)",2245 S SACRAMENTO AVE,XXXX,33.62,,34.08,,24.75,,15.25,,13.61,,,,15.19,,40.17,,6104d2ebf8892d9346eb4770
470531,CICERO,CHPH33252_SCU-470531_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,33.04,,,,,,9.75,,11.69,,,,11.6,,39.33,,6104b65ff8892d9346eb460f
470541,CHICAGO CITY,CH1410BA_21LAB_Elevation_As_Built.pdf,XXXX,"41' 56' 25.52"" N (41.940421)","87' 42' 45.70"" W (-87.712695)",3240 N. KIMBALL AVE.,XXXX,34.5,,,,,,23.5,,,,,,40.0,,,,6104b0fff8892d9346eb45c5
470545,CHICAGO CITY,CHPH33293_SCU-470545_NAT_Reviewed_Redline-Node.pdf,XXXX,9999,9999,XXXX,XXXX,,,,,,,23.5,,,,,,,,27.17,,6104d671f8892d9346eb479c
470552,EVANSTON,CH2299BA_81LAB_Elevation_As_Built.pdf,COMED,"42' 01' 30.97"" (42.025270)","-87 40' 47.16"" (-87.679766)",410 CALLAN AVE,XXXX,38.0,,,,25.67,,11.75,,13.64,,,,13.6,,44.58,,6104b544f8892d9346eb45ff
470553,CITY OF EVANSTON,CHPH30048_SCU-470553_Redlines-Node.pdf,XXXX,"42' 01' 10.22"" N (42.019507)","87º 40' 40.37"" W (-87.677882)",565 HOWARD ST.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104b627f8892d9346eb460c
470554,CHICAGO,CH2230BA_81LAB_Elevation_As_Built.pdf,COMED,9999,9999,XXXX,XXXX,38.92,,39.17,,,,13.75,,11.53,,,,27.52,,,,6104b716f8892d9346eb4618
470556,CICERO,CHPH33253_SCU-470556_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,36.38,,,,,,16.79,,14.6,,,,23.9,,,,6104b9b7f8892d9346eb4638
470561,CHICAGO CITY,CHPH33302_SCU-470561_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 53' 04.78"" N (41.884661)","87º 39' 15.71"" W (-87.654363)",155 N. ABERDEEN ST.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104d48ff8892d9346eb4786
470597,CHICAGO CITY,CH2231BA_61LAB_Elevation_NAT_Reviewed_As_Built.pdf,XXXX,"41' 50' 13.41"" N (41.837059)","87º 43' 06.16"" W (-87.718377)",3732 W. 31ST ST.,XXXX,34.5,,,,,,,,,,,,30.04,,,,6104b99ef8892d9346eb4637
470617,CHICAGO,CHPH33332_SCU-470617_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,33.08,,33.46,,,,16.38,,14.19,,,,23.85,,,,6104d92af8892d9346eb47bd
470624,CHICAGO,CHPH33341_SCU-470624_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,34.0,,34.29,,,,13.58,,11.4,,,,23.44,,,,6104b41af8892d9346eb45ed
470625,CHICAGO,CH2217BA_31LAB_Elevation_As_Built_NAT_Redline.pdf,COMED,"41' 55' 28.41"" (41.924557)","-87' 45' 30.25"" (-87.758401)",2413 N LOCKWOOD AVE,XXXX,33.17,,,,28.67,,11.75,,12.89,,,,12.85,,39.33,,6104d379f8892d9346eb4778
470628,CHICAGO,CHPH33346_SCU-470628_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,,,33.79,,,,12.92,,10.73,,8.67,,23.44,,,,6104b870f8892d9346eb4629
470640,TOWN OF CICERO,CHPH33398_470640_Redlines_Node.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,,,,,6104bde9f8892d9346eb466c
470647,CHICAGO CITY,CHPH33406_SCU-470647_Redlines-Node.pdf,XXXX,"41' 52' 35.49"" N (41.876526)","87 38' 58.01"" W (-87.649447)",403 S. PEORIA ST.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104cef0f8892d9346eb473d
470650,CHICAGO CITY,CHPH33412_SCU-470650_Redlines-Node.pdf,XXXX,"41' 58' 30.89"" N (41.975248)","87' 44' 53.97"" W (-87.748326)",4805 W. FOSTER AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104b986f8892d9346eb4636
470657,CHICAGO CITY,CHPH33430_SCU-470657_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 50' 17.47"" N (41.838185)","87º 38' 25.15"" W (-87.640319)",534 W. 31ST ST.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104c353f8892d9346eb46af
470686,CHICAGO,CHPH33473_470686Elevation_As_Built_NAT_Redline.pdf,COMED,9999,9999,XXXX,XXXX,34.25,,34.17,,24.25,,11.75,,13.64,,,,13.6,,40.75,,6104c2b3f8892d9346eb46a6
470688,CHICAGO,CH2302BA_11LAB_Elevation_NAT_Approved_As_Built.pdf,COMED,9999,9999,XXXX,XXXX,33.79,,,,,,12.0,,10.48,,,,12.02,,40.17,,6104cf8af8892d9346eb4744
470689,CHICAGO CITY,CHPH33480_SCU-470689_Redlines-Node.pdf,XXXX,"42' 00' 16.95"" N (42.004707)","87º 42' 12.78"" W (-87.703549)",2933 W. PRATT BLVD.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104d949f8892d9346eb47bf
470690,CHICAGO CITY,CH2296BA_71LAB_Elevation_As_Built.pdf,XXXX,"41' 59' 25.58"" N (41.990439)","87º 42' 51.91"" W (-87.714418)",3406 W. PETERSON AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104bdc0f8892d9346eb466a
470691,CHICAGO CITY,CHPH33482_SCU-470691_REDLINE-NODE.pdf,XXXX,"41' 59' 31.58"" N (41.992105)","87º 42' 50.85"" W (-87.714126)",3400 W. GLENLAKE AVE.,XXXX,34.5,,,,,,,,,,,,29.0,,,,6104b6d6f8892d9346eb4615
